term,count
mindmaparrowlink,23
ppair,23
currentpoint,23
fork,23
deprec,23
mnemo,23
positionhold,23
poshold,23
includ,23
paramchild,23
weekofyearvis,23
setpreferreds,23
putvalu,23
nodelistmemb,23
setintattribut,23
foldact,23
alt_mask,23
overwrit,23
join,23
defaultmutabletreenod,23
vgap,23
getlistchoicelist,23
everi,23
hack,23
owner,23
clip,23
deregisterfilt,22
uid,22
pnodeview,22
syntax,22
poldmod,22
replacefirst,22
support,22
getdoact,22
resiz,22
getfreeminddirectori,22
mchild2,22
splitpan,22
construct,22
deltax,22
getlistcellrenderercompon,22
setedit,22
weekday,22
noteviewercompon,22
renam,22
mapmarkerloc,22
pastenodeact,22
encryptedmindmapnod,22
selectedpar,22
getbackground,22
margin,22
tablecellrender,22
hsb,22
edit_menu,22
parser,22
structuredmenuitemhold,22
getelementat,22
forc,22
deriv,22
historyinform,22
sunday,22
express,22
unescap,22
drawlin,22
hit,22
serialversionuid,22
compress,22
mapfil,22
drawimag,22
decoratedialog,22
green,22
ref,22
freemindpropertylisten,22
arc,22
baseclass,22
mod,22
arrowlinkmodel,22
laf,22
tablesort,22
ptilesourc,21
scriptcont,21
onlostfocusnod,21
jviewport,21
edgestyleact,21
don,21
gethgap,21
curx,21
someth,21
grab,21
enumeratechildren,21
pvalu,21
formatdialog,21
subpattern,21
setmod,21
catch,21
scripteditorpanel,21
pitem,21
abov,21
requir,21
pimg,21
scrollpan,21
registeractor,21
freemindtestbas,21
heigth,21
graph,21
getkeychar,21
mcurrentpopuppositionhold,21
age,21
touppercas,21
diamet,21
swingutil,21
bufferedread,21
full,21
curi,21
addwindowlisten,21
pzoom,21
setconstraint,21
timet,21
preferredchild,21
transformerfactori,21
fontstyl,21
haschildren,20
revalid,20
addal,20
modenam,20
remain,20
filterconditionmodel,20
convers,20
textfieldlisten,20
getfilechoos,20
geticonwidth,20
grabkeydialog,20
nodeid,20
setbound,20
filecont,20
pmapnodepositionhold,20
landscap,20
nodecolor,20
mtilesourc,20
onupdatechildrenhook,20
currenttimemilli,20
mroot,20
basedir,20
schemenodemodel,20
thin,20
unsupportedflavorexcept,20
startel,20
getselectedview,20
trigger,20
north,20
childverticalshift,20
blue,20
pwddialog,20
shadow,20
reg,20
isital,20
jcheckbox,20
edgewidthact,20
specifi,20
idx,20
jtabl,19
originx,19
cloudadapt,19
getpoint,19
detect,19
job,19
org,19
attributecomparecondit,19
variabl,19
mscripttextfield,19
freemindact,19
sequenc,19
pstring,19
rich,19
menuadd,19
caus,19
revertxmlact,19
mpropertychangepropag,19
standardstyl,19
tok,19
cal,19
addicon,19
addnew,19
storedialogposit,19
getspacearound,19
gethookfactori,19
depend,19
zoomvalu,19
attributevalu,19
bubbl,19
dim,19
rowcount,19
polygon,19
htmldocument,19
laststatestoragemanag,19
mfreemindcommon,19
creation,19
mindmaphook,19
cardlayout,19
enc,19
jmonthchoos,19
mbindingxml,19
zoomfactor,19
scurrentposit,19
standardcolor,19
getstartinclin,19
cur,19
mindmapcloud,19
ctrl_mask,19
hello,19
pcloneid,19
getvgap,19
examplefilefilt,19
mmodel,19
attributeel,19
getendinclin,19
getbutton,19
changetomapmodul,19
half,19
pselect,19
least,19
bufferedwrit,19
hasmoretoken,19
bytearrayoutputstream,19
toedter,19
getextens,19
www,19
hookdescriptorpluginact,18
createmodecontrol,18
getuniqueid,18
removehook,18
shtmlpanel,18
extendedattributetablemodeldecor,18
enterpassworddialog,18
pasteact,18
setallact,18
nodefonts,18
iconpath,18
gethooknam,18
newzoom,18
maxdaycharact,18
accessori,18
registerfilt,18
tablemodelev,18
circle_radiu,18
stage,18
cancelact,18
comboboxmodel,18
unmodifi,18
mpatternlistmodel,18
focuslisten,18
changedinclin,18
getchildat,18
increment,18
changeselect,18
paragraph,18
midtotarget,18
getbackgroundcolor,18
countchildren,18
deselect,18
keypress,18
defin,18
caller,18
itemlisten,18
keybind,18
getscript,18
fact,18
nodecomparecondit,18
idtotarget,18
finish,18
labeltext,18
exporthook,18
know,18
sax,18
southpanel,18
getchildposit,18
setdoubleattribut,18
tooltip_ext,18
singleton,18
textcompon,18
unix,18
mstylepatternfram,18
getcolumncount,18
nodeactorxml,18
iconinform,18
passwordproperti,18
xmlpluginfil,18
nodelifetimelisten,18
getstrok,18
mimag,18
loadurl,18
arrowact,18
decodedpath,18
gettim,17
setstylerecurs,17
portfil,17
selectedrow,17
getnotetext,17
jedit,17
quit,17
inst,17
executeact,17
isbold,17
getpatternresult,17
freemindmainmock,17
openstream,17
freemindmapcontrol,17
edgecolor,17
gettransferdata,17
cancelpress,17
setpatterncontrol,17
tracker,17
widget,17
dragstartingpoint,17
dot,17
setfocus,17
getmessag,17
cloneid,17
actionpairlist,17
setloc,17
scripthold,17
cubic,17
ptext,17
favorit,17
getcomponentcount,17
